lon,lat,label,name,date,lbi_mean,lbi_max,hit_frac,n_px
-103.465072,32.184163,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.967115,31.325338,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.601217,31.99891,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.666374,31.455231,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.16528,31.894841,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.919985,31.722849,caliche,,2023-07-15,0.00012179888756236452,0.1250103861093521,0.0012207031249999902,65536
-103.918837,31.342107,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.23503,31.814801,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.575139,31.336283,caliche,,2023-07-15,0.0,0.0,0.0,65536
-104.076372,31.870434,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.578833,32.227046,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.592148,31.142115,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.550285,31.919671,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.625154,31.222005,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.35313,31.792356,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.811086,32.070005,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.756384,31.297533,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.994668,31.610367,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.965727,31.657132,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.003411,31.925374,caliche,,2023-07-15,0.000619844902871594,0.2168869823217392,0.003997802734374975,65536
-101.19988,31.177943,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.031743,31.491093,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.585732,31.373253,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.700842,31.633198,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.971073,31.412109,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.51311,32.250245,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.904138,32.169754,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.566475,31.115765,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.15226,32.136836,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.247662,32.254277,caliche,,2023-07-15,0.0,0.0,0.0,65536
-101.626608,31.266204,caliche,,2023-07-15,0.0,0.0,0.0,65536
-102.77023,31.327871,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.036723,31.126226,caliche,,2023-07-15,4.6647917315567536e-05,0.10169995576143265,0.0005340576171875015,65536
-103.106235,32.330901,caliche,,2023-07-15,0.0,0.0,0.0,65536
-103.46461,32.069292,caliche,,2023-07-15,0.0,0.0,0.0,65536
