lon,lat,date,APEX,FBC,HPWI,PWI,LBI,TRI,BPI,VSI,CMA,PHI,HMI,NDSI,NDVI,BSI,NDWI,IronRatio,B02,B03,B04,B05,B07,B08,B8A,B11,B12
-102.285806,31.082514,2023-07-15,0.33222354107690794,1.0,0.27131589187947486,1.0,0.0470821671726386,0.00014240567460984172,0.02713984749411891,0.06578484873700516,0.0,0.015082240755464936,0.0,0.06969238020957168,0.13136419983505482,0.1864808068220658,-0.39573482118154196,1.7188504395428454,0.15605243076868147,0.2030000136971904,0.2682307892184776,0.30521431604279264,0.3434122940368542,0.3493601255643192,0.36726064167919276,0.46889047681270063,0.4077923630161419
-103.433658,31.340174,2023-07-15,0.0981251948591128,1.0,0.033287771957044764,1.0,0.11875693955042148,0.0,0.0007835005779029162,0.04578698147982541,0.0,0.0,0.029712970090246038,0.10168625416541785,0.07470945136012204,0.12228256022760951,-0.24195579692267016,1.4594632921652377,0.27097919022912575,0.3285829437004385,0.3954841810800701,0.43642006550589585,0.46477221051327344,0.4593482424465904,0.479727431024913,0.5383399675665684,0.43896181055970535
-101.980116,31.929709,2023-07-15,0.3758786642547582,1.0,0.3069675758080525,1.0,0.018768763706861067,0.000931720161460368,0.03962001333977499,0.07744620659733491,0.0,0.020628324958359905,0.0,0.06770157166977574,0.13525901274106183,0.22614761642138576,-0.46455957954319815,1.9877335220045431,0.1283275284291672,0.17506881431938687,0.25508093005464666,0.2918692799200926,0.33010106375900244,0.3348782226003094,0.3579129041590913,0.4788557219344503,0.4181284815927002
-101.489634,31.16302,2023-07-15,0.2172629459533099,0.0,0.17743140586186973,1.0,0.044361836064431226,0.0,0.025859642468734782,0.07008724022210948,0.0,0.01888012781748514,0.0,0.062247926324396435,0.14106539082582453,0.16275894869586535,-0.3725559234343366,1.2961715292837435,0.21325293590632463,0.2421565003230642,0.27641238405794893,0.31681891858988737,0.3654898377399208,0.3672044433596963,0.3945591477322518,0.5297258374575906,0.46764177198657103
-102.970946,31.088736,2023-07-15,0.14303833365737173,1.0,0.11681463915352025,1.0,0.05545438317340225,1.2950019340998731e-06,0.0074382636773538124,0.03956362140164502,0.0,0.001454657605911771,0.0,0.054510618722717466,0.10118251251859947,0.16429156283257407,-0.32777031721098915,1.6788436231983044,0.1824783081403899,0.2383433776241207,0.3063525439935088,0.3436000716460521,0.37414842357065986,0.3753265471686961,0.39131177972422015,0.47076954531394083,0.4220987425069317
-103.61129,31.706962,2023-07-15,0.12306197574893188,1.0,0.10050061352829436,1.0,0.0502314809093361,4.0064106281170173e-07,0.008162111792849308,0.03766935538380205,0.0,0.002702349286693075,0.0,0.05236743480101055,0.10580571227848871,0.16584141838219144,-0.3382926368497851,1.6505324618357227,0.19333098752554087,0.24852007281117575,0.3190990707896624,0.36180240912222067,0.4002345393860225,0.39461398949560506,0.4168497755288176,0.5026279018102248,0.4526048148031801
-104.216412,31.308489,2023-07-15,0.28303869141215077,1.0,0.23114826465325647,1.0,0.05200574741496618,3.473698782018924e-05,0.024710037382816186,0.07853433083428418,0.0,0.012844674783623451,0.0,0.06403335593063943,0.10513271071100952,0.19628184832572146,-0.38440306599975366,1.628479923710144,0.1713819016486005,0.21744926728001762,0.27909198612201236,0.3129143688888655,0.3418338308542834,0.34466974807605544,0.36366947326678495,0.48901710794052755,0.4301591664025201
-102.252864,31.758424,2023-07-15,0.29270951350616414,1.0,0.23904610269670074,1.0,0.02811690157524274,0.00015811492194514395,0.033249937817576784,0.06956855286149385,0.0,0.019091125811255973,0.0,0.0637642897964943,0.14516372353922657,0.2052866689283126,-0.43718168965966453,1.750472957840846,0.1408484192619419,0.18326984568580018,0.246551349072659,0.2826813569542978,0.326435472226197,0.3302874114288034,0.3512208737565754,0.4679877353796671,0.41188337867925
-103.605612,31.816045,2023-07-15,0.0,1.0,0.0,1.0,0.04196070723330618,0.0,0.008813745668749403,0.046271852723651294,0.0,0.0037848728315969683,0.0,0.046782644670027344,0.0949641485475624,0.19192493143719574,-0.37090754460443276,1.7328309715857206,0.18565964059143789,0.24149306018353073,0.321716775390317,0.36116580396037606,0.3928750208888237,0.38923135970071415,0.41232407996539805,0.5262575561600789,0.4792187169509808
-101.750294,31.058448,2023-07-15,0.19632797693514834,1.0,0.16033451449703778,1.0,0.04297443003034838,1.869975151686691e-05,0.017292102562884413,0.04356649524938791,0.0,0.009530126776794805,0.0,0.05877004623951779,0.14059607306198169,0.17432737816223953,-0.37797995824462105,1.7070125400171356,0.1744670608977693,0.2313375915034624,0.2978174607724255,0.3437893949517285,0.39582434710836845,0.39526166404266183,0.4183998414591765,0.5124892178405369,0.45559487116588787
