lon,lat,label,date,pwci_mean,pwci_max,hit_frac,n_px
-101.541063,31.392406,background,2023-07-15,0.0,0.0,0.0,65536
-102.723154,31.282247,background,2023-07-15,0.0,0.0,0.0,65536
-101.425222,32.181674,background,2023-07-15,0.0,0.0,0.0,65536
-103.359899,31.880634,background,2023-07-15,0.0,0.0,0.0,65536
-102.381744,31.248691,background,2023-07-15,0.0,0.0,0.0,65536
-101.898091,31.751193,background,2023-07-15,0.0,0.0,0.0,65536
-101.847327,31.73946,background,2023-07-15,0.0,0.0,0.0,65536
-104.298199,31.471403,background,2023-07-15,0.0,0.0,0.0,65536
-104.238648,32.257828,background,2023-07-15,0.0,0.0,0.0,65536
-101.532026,32.131165,background,2023-07-15,0.00029556043500634133,0.3354615569114685,0.0028533935546875395,65536
-103.331331,31.125303,background,2023-07-15,0.0,0.0,0.0,65536
-101.53427,32.281034,background,2023-07-15,0.0,0.0,0.0,65536
-104.030192,31.681788,background,2023-07-15,0.0,0.0,0.0,65536
-104.081981,32.038783,background,2023-07-15,0.0,0.0,0.0,65536
-101.887622,31.216909,background,2023-07-15,0.0,0.0,0.0,65536
-102.802861,31.764745,background,2023-07-15,0.0,0.0,0.0,65536
-103.465072,32.184163,background,2023-07-15,0.0,0.0,0.0,65536
-102.967115,31.325338,background,2023-07-15,0.0,0.0,0.0,65536
-102.601217,31.99891,background,2023-07-15,0.0,0.0,0.0,65536
-103.666374,31.455231,background,2023-07-15,0.0,0.0,0.0,65536
-101.16528,31.894841,background,2023-07-15,0.000954980428900846,0.7534586787223816,0.0046539306640624905,65536
-102.919985,31.722849,background,2023-07-15,0.0,0.0,0.0,65536
-103.918837,31.342107,background,2023-07-15,0.0,0.0,0.0,65536
-103.23503,31.814801,background,2023-07-15,0.0,0.0,0.0,65536
-103.575139,31.336283,background,2023-07-15,0.0,0.0,0.0,65536
-104.076372,31.870434,background,2023-07-15,0.0,0.0,0.0,65536
-103.578833,32.227046,background,2023-07-15,0.0,0.0,0.0,65536
