lon,lat,date,B02,B03,B04,B05,B07,B08,B8A,B11,B12
-101.852,31.901,2023-11-14,0.054640776168412696,0.08915013288321856,0.08903800362168172,0.14344663095175603,0.3175049731485174,0.32659891639605115,0.33568831937691324,0.286099161087804,0.2086119004363806
-101.871,31.882,2023-08-03,0.15635831916540785,0.20396431289498068,0.26598244631304485,0.3057666374165838,0.3477435986692411,0.3437297548423429,0.3689427845233708,0.47557550318333447,0.41402750486759354
-101.243,31.257,2023-06-19,0.7398865953509787,0.6788966977151271,0.6520144782371051,0.6840675976091043,0.6594024355358726,0.6351127987955028,0.6768355459589729,0.4478927213481269,0.41334586157927433
-101.278,31.231,2022-12-08,0.14481282355046535,0.15750751047670564,0.16855740962091484,0.19142727032158255,0.23852465723348307,0.25230414726252637,0.25239381520668785,0.30354004697619585,0.27890106875997783
-103.418,31.492,2024-01-07,0.2128836424972178,0.24899665842485647,0.2970532469667008,0.3222363250315533,0.3351219654459762,0.35058728042076576,0.35060565916865416,0.37435443156528125,0.35072891941808776
-103.44,31.471,2023-09-22,0.15634046178899888,0.20742558290283036,0.25751317458786854,0.3063240321275764,0.3676432418765198,0.3597676118656606,0.39881169285991314,0.4654088213469552,0.3792403446800556
-103.391,31.512,2022-05-17,0.2185814635308817,0.2789724795218239,0.35663825381970815,0.3947437530873698,0.42656654997381305,0.44536361721247714,0.45330376704941494,0.5346319515938375,0.41480184911460927
-103.458,31.504,2023-03-14,0.13371634693453424,0.17788237312572663,0.23368234251461167,0.25583056373102725,0.2831214414211492,0.30294134821269947,0.3007465500145398,0.4094343216956906,0.37020071133701915
-104.021,31.34,2023-07-29,0.17350137949540584,0.22092956839412575,0.2799323854237616,0.31780360956486664,0.3555880523845201,0.35197989519338096,0.3780098394863698,0.4803661195737765,0.42564214153071483
-104.118,31.182,2022-11-05,0.1404747971895405,0.1751739700340529,0.20941203310701392,0.24938883787012794,0.3084498774267122,0.3056125639871004,0.32844208635128613,0.3681023664894328,0.3024510254581376
-103.782,31.614,2023-04-11,0.1713824251023622,0.22963522017812463,0.29286641389694146,0.32394047206116516,0.34676473145327946,0.35420011928499756,0.3606121547700294,0.46514872872239993,0.40600568420404626
-103.756,31.592,2024-01-19,0.0936254472072728,0.1336118789814126,0.18141000207316402,0.19874125799242476,0.20699433956895172,0.21170123287424744,0.2107976425627403,0.2549179014913509,0.2351923580431501
